step,bce,L_struct_total,JS_soft,moment_mean,moment_std,deg_gen_mean,deg_gen_std,hub1pct_gen,auc,ap
0,1.0454896688461304,3.6013166904449463,0.5916764736175537,142.6498260498047,15.66436767578125,155.40982055664062,3.652678966522217,0.01106721255928278,0.8809546948030913,0.5217296970433362
1,1.034525990486145,3.6171388626098633,0.5920470356941223,143.68716430664062,15.134868621826172,156.44715881347656,4.182178497314453,0.011212713085114956,0.8809852890513726,0.5218005595608519
2,1.0251699686050415,3.635207176208496,0.5924583673477173,144.8518829345703,14.571144104003906,157.61187744140625,4.7459025382995605,0.01136451680213213,0.8809328417686046,0.5221475175674424
3,1.0154588222503662,3.6554837226867676,0.5929081439971924,146.13975524902344,13.978055000305176,158.89974975585938,5.338992118835449,0.01152066234499216,0.8808444012525645,0.5229109246473924
4,1.0073716640472412,3.6778457164764404,0.5933916568756104,147.54153442382812,13.362326622009277,160.30152893066406,5.954720497131348,0.011679242365062237,0.8807842411340954,0.5233857438558691
5,1.0009764432907104,3.701810836791992,0.5938975811004639,149.02699279785156,12.737342834472656,161.7869873046875,6.579704761505127,0.01183626800775528,0.8806608357628766,0.5231170948673682
6,1.0000059604644775,3.726196765899658,0.5944015979766846,150.52581787109375,12.127891540527344,163.2858123779297,7.189155101776123,0.011985322460532188,0.8805785655153974,0.5232111180961591
7,0.9946478009223938,3.74894380569458,0.5948636531829834,151.9170684814453,11.573883056640625,164.67706298828125,7.743163585662842,0.012117460370063782,0.8804762418950951,0.5231434527047795
8,0.997359573841095,3.7685132026672363,0.5952560305595398,153.11251831054688,11.10068416595459,165.8725128173828,8.216362953186035,0.012227995321154594,0.8803836878666811,0.5234927472005584
9,1.001229166984558,3.782583475112915,0.5955374836921692,153.97940063476562,10.745832443237305,166.73939514160156,8.57121467590332,0.012309994548559189,0.8803739182747929,0.5236904397114688
10,0.9990633726119995,3.7900028228759766,0.5956889390945435,154.45359802246094,10.524191856384277,167.21359252929688,8.792855262756348,0.012361709028482437,0.8804027128614106,0.523828909681481
11,0.9961405396461487,3.791438102722168,0.5957256555557251,154.5762481689453,10.41873836517334,167.33624267578125,8.898308753967285,0.01238781213760376,0.8804603020346461,0.5239151227343557
12,1.000530481338501,3.7881267070770264,0.5956714153289795,154.41998291015625,10.405567169189453,167.1799774169922,8.911479949951172,0.012393784709274769,0.8805446290383122,0.5237454931847406
13,0.9981817007064819,3.780792236328125,0.5955395698547363,154.0257110595703,10.473855972290039,166.78570556640625,8.843191146850586,0.012381807900965214,0.880613530370576,0.5240220084346853
14,0.9964197278022766,3.770841121673584,0.5953561663627625,153.47454833984375,10.599392890930176,166.2345428466797,8.71765422821045,0.01235708873718977,0.8806788323795126,0.5242529446668414
