step,bce,L_struct_total,L_struct_scaled,hub_penalty,density_penalty,JS_soft,JS_mass,moment_mean,moment_std,deg_gen_mean,deg_gen_std,hub1pct_gen,auc,ap
0,1.0727324485778809,21.3791561126709,5.344789028167725,0.041516344994306564,2.9416825782391243e-05,0.16262197494506836,0.2111075222492218,13.144988059997559,395.0986633300781,15.385601997375488,0.2656294107437134,0.01078816968947649,0.8991459319933567,0.5318517673323259
1,1.060657262802124,21.351821899414062,5.337955474853516,0.04145006462931633,3.082677358179353e-05,0.16429230570793152,0.21176688373088837,13.774801254272461,393.25372314453125,15.471442222595215,0.3120920956134796,0.010920736007392406,0.8992544258822198,0.5332376515885944
2,1.0491864681243896,21.32776641845703,5.331941604614258,0.04137922450900078,3.247494896641001e-05,0.16618706285953522,0.21251069009304047,14.511125564575195,391.2559814453125,15.569347381591797,0.3625251054763794,0.011062415316700935,0.8993744890246348,0.534140135134312
3,1.04069185256958,21.308483123779297,5.327120780944824,0.04130440950393677,3.438591011217795e-05,0.16831247508525848,0.21334004402160645,15.364927291870117,389.1134033203125,15.67981243133545,0.41675859689712524,0.011212045326828957,0.8994091967852901,0.5346541738291931
4,1.0300604104995728,21.295629501342773,5.323907375335693,0.04122654348611832,3.6576610000338405e-05,0.17066335678100586,0.21425116062164307,16.343852996826172,386.8437805175781,15.802753448486328,0.47437378764152527,0.011367777362465858,0.8994616440680581,0.5350749991380668
5,1.0212911367416382,21.290796279907227,5.322699069976807,0.04114660993218422,3.9061425923136994e-05,0.1732293963432312,0.21523846685886383,17.454309463500977,384.46661376953125,15.937835693359375,0.5348960757255554,0.011527644470334053,0.8994673001475723,0.5356653200400899
6,1.0138856172561646,21.295473098754883,5.323868274688721,0.04106613248586655,4.183220517006703e-05,0.17597758769989014,0.2162875235080719,18.69271469116211,382.01947021484375,16.083507537841797,0.5973988175392151,0.011688600294291973,0.899459587311871,0.5361471608506589
7,1.0103002786636353,21.310155868530273,5.327538967132568,0.04098743945360184,4.482799340621568e-05,0.17882785201072693,0.2173665463924408,20.03179168701172,379.5686950683594,16.235689163208008,0.660194456577301,0.01184597983956337,0.8994662717694788,0.5373341637502942
8,1.0048828125,21.333078384399414,5.3332695960998535,0.04091424494981766,4.78806541650556e-05,0.18161515891551971,0.2184125781059265,21.39642906188965,377.2330017089844,16.38562774658203,0.7202309370040894,0.011992375366389751,0.8994580447447309,0.5380369321519284
9,1.0071039199829102,21.360111236572266,5.340027809143066,0.040849849581718445,5.076898378320038e-05,0.18415287137031555,0.21935637295246124,22.687681198120117,375.1322021484375,16.52315902709961,0.7743881940841675,0.012121162377297878,0.8994259079293093,0.5384168064881119
